"Entrez.Gene.IDA"	"Symbol.A"	"Entrez.Gene.IDB"	"Symbol.B"
"5966"	"REL"	"54726"	"OTUD4"
"5966"	"REL"	"54902"	"TTC19"
"5966"	"REL"	"54946"	"SLC41A3"
"5966"	"REL"	"54955"	"C1orf109"
"5966"	"REL"	"54957"	"TXNL4B"
"5966"	"REL"	"55110"	"MAGOHB"
"5966"	"REL"	"55577"	"NAGK"
"5966"	"REL"	"55616"	"ASAP3"
"5966"	"REL"	"55916"	"NXT2"
"5966"	"REL"	"56344"	"CABP5"
"5966"	"REL"	"56648"	"EIF5A2"
"5966"	"REL"	"56891"	"LGALS14"
"5966"	"REL"	"56895"	"AGPAT4"
"5966"	"REL"	"56911"	"MAP3K7CL"
"5966"	"REL"	"56915"	"EXOSC5"
"5966"	"REL"	"56980"	"PRDM10"
"5966"	"REL"	"56998"	"CTNNBIP1"
"5966"	"REL"	"57642"	"COL20A1"
"5966"	"REL"	"57674"	"RNF213"
"5966"	"REL"	"57819"	"LSM2"
"5966"	"REL"	"58157"	"NGB"
"5966"	"REL"	"58524"	"DMRT3"
"5966"	"REL"	"58986"	"TMEM8A"
"5966"	"REL"	"64098"	"PARVG"
"5966"	"REL"	"65264"	"UBE2Z"
"5966"	"REL"	"78990"	"OTUB2"
"5966"	"REL"	"79025"	"C20orf195"
"5966"	"REL"	"79065"	"ATG9A"
"5966"	"REL"	"79616"	"CCNJL"
"5966"	"REL"	"79622"	"SNRNP25"
"5966"	"REL"	"79707"	"NOL9"
"5966"	"REL"	"80308"	"FLAD1"
"5966"	"REL"	"81629"	"TSSK3"
"5966"	"REL"	"83593"	"RASSF5"
"5966"	"REL"	"83638"	"C11orf68"
"5966"	"REL"	"84069"	"PLEKHN1"
"5966"	"REL"	"84299"	"MIEN1"
"5966"	"REL"	"84313"	"VPS25"
"5966"	"REL"	"84984"	"CEP19"
"5966"	"REL"	"85280"	"KRTAP9-4"
"5966"	"REL"	"90427"	"BMF"
"5966"	"REL"	"91252"	"SLC39A13"
"5966"	"REL"	"91647"	"ATPAF2"
"5966"	"REL"	"91661"	"ZNF765"
"5966"	"REL"	"92129"	"RIPPLY1"
"5966"	"REL"	"112399"	"EGLN3"
"5966"	"REL"	"114327"	"EFHC1"
"5966"	"REL"	"114792"	"KLHL32"
"5966"	"REL"	"117286"	"CIB3"
"5966"	"REL"	"120379"	"PIH1D2"
"5966"	"REL"	"124995"	"MRPL10"
"5966"	"REL"	"126382"	"NR2C2AP"
"5966"	"REL"	"131377"	"KLHL40"
"5966"	"REL"	"132158"	"GLYCTK"
"5966"	"REL"	"137209"	"ZNF572"
"5966"	"REL"	"147687"	"ZNF417"
"5966"	"REL"	"158427"	"TSTD2"
"5966"	"REL"	"160065"	"PATE1"
"5966"	"REL"	"162972"	"ZNF550"
"5966"	"REL"	"163050"	"ZNF564"
"5966"	"REL"	"170384"	"FUT11"
"5966"	"REL"	"199223"	"TTC21A"
"5966"	"REL"	"201254"	"STRA13"
"5966"	"REL"	"203228"	"C9orf72"
"5966"	"REL"	"221184"	"CPNE2"
"5966"	"REL"	"252969"	"NEIL2"
"5966"	"REL"	"254359"	"ZDHHC24"
"5966"	"REL"	"256281"	"NUDT14"
"5966"	"REL"	"284904"	"SEC14L4"
"5966"	"REL"	"343472"	"BARHL2"
"5966"	"REL"	"347517"	"RAB41"
"5966"	"REL"	"378108"	"TRIM74"
"5966"	"REL"	"387882"	"C12orf75"
"5966"	"REL"	"441362"	"REXO1L6P"
"5970"	"RELA"	"6925"	"TCF4"
"5977"	"DPF2"	"23641"	"LDOC1"
"5977"	"DPF2"	"84708"	"LNX1"
"5979"	"RET"	"388677"	"NOTCH2NL"
"5984"	"RFC4"	"5985"	"RFC5"
"5984"	"RFC4"	"10193"	"RNF41"
"5985"	"RFC5"	"10475"	"TRIM38"
"5987"	"TRIM27"	"5987"	"TRIM27"
"5987"	"TRIM27"	"6386"	"SDCBP"
"5987"	"TRIM27"	"6427"	"SRSF2"
"5987"	"TRIM27"	"6477"	"SIAH1"
"5987"	"TRIM27"	"6626"	"SNRPA"
"5987"	"TRIM27"	"6629"	"SNRPB2"
"5987"	"TRIM27"	"6919"	"TCEA2"
"5987"	"TRIM27"	"7004"	"TEAD4"
"5987"	"TRIM27"	"7114"	"TMSB4X"
"5987"	"TRIM27"	"7120"	"TMSB4XP6"
"5987"	"TRIM27"	"7170"	"TPM3"
"5987"	"TRIM27"	"7286"	"TUFT1"
"5987"	"TRIM27"	"7507"	"XPA"
"5987"	"TRIM27"	"7633"	"ZNF79"
"5987"	"TRIM27"	"7918"	"GPANK1"
"5987"	"TRIM27"	"7936"	"NELFE"
"5987"	"TRIM27"	"7984"	"ARHGEF5"
"5987"	"TRIM27"	"8440"	"NCK2"
"5987"	"TRIM27"	"8576"	"STK16"
"5987"	"TRIM27"	"8664"	"EIF3D"
"5987"	"TRIM27"	"8697"	"CDC23"
"5987"	"TRIM27"	"8934"	"RAB29"
"5987"	"TRIM27"	"9099"	"USP2"
"5987"	"TRIM27"	"9107"	"MTMR6"
"5987"	"TRIM27"	"9470"	"EIF4E2"
"5987"	"TRIM27"	"9529"	"BAG5"
"5987"	"TRIM27"	"9533"	"POLR1C"
"5987"	"TRIM27"	"9825"	"SPATA2"
"5987"	"TRIM27"	"9929"	"JOSD1"
"5987"	"TRIM27"	"9975"	"NR1D2"
"5987"	"TRIM27"	"10174"	"SORBS3"
"5987"	"TRIM27"	"10190"	"TXNDC9"
"5987"	"TRIM27"	"10459"	"MAD2L2"
"5987"	"TRIM27"	"10494"	"STK25"
"5987"	"TRIM27"	"10524"	"KAT5"
"5987"	"TRIM27"	"10529"	"NEBL"
"5987"	"TRIM27"	"10623"	"POLR3C"
"5987"	"TRIM27"	"10667"	"FARS2"
"5987"	"TRIM27"	"10783"	"NEK6"
"5987"	"TRIM27"	"11043"	"MID2"
"5987"	"TRIM27"	"11051"	"NUDT21"
"5987"	"TRIM27"	"23005"	"MAPKBP1"
"5987"	"TRIM27"	"25930"	"PTPN23"
"5987"	"TRIM27"	"26121"	"PRPF31"
"5987"	"TRIM27"	"27023"	"FOXB1"
"5987"	"TRIM27"	"27124"	"INPP5J"
"5987"	"TRIM27"	"27430"	"MAT2B"
"5987"	"TRIM27"	"29086"	"BABAM1"
"5987"	"TRIM27"	"29922"	"NME7"
"5987"	"TRIM27"	"50650"	"ARHGEF3"
"5987"	"TRIM27"	"51002"	"TPRKB"
"5987"	"TRIM27"	"51072"	"MEMO1"
"5987"	"TRIM27"	"51160"	"VPS28"
"5987"	"TRIM27"	"51265"	"CDKL3"
"5987"	"TRIM27"	"51296"	"SLC15A3"
"5987"	"TRIM27"	"51352"	"WT1-AS"
"5987"	"TRIM27"	"51421"	"AMOTL2"
"5987"	"TRIM27"	"51545"	"ZNF581"
"5987"	"TRIM27"	"54461"	"FBXW5"
"5987"	"TRIM27"	"54478"	"FAM64A"
"5987"	"TRIM27"	"54535"	"CCHCR1"
"5987"	"TRIM27"	"54540"	"FAM193B"
"5987"	"TRIM27"	"54793"	"KCTD9"
"5987"	"TRIM27"	"54927"	"CHCHD3"
"5987"	"TRIM27"	"55093"	"WDYHV1"
"5987"	"TRIM27"	"55147"	"RBM23"
"5987"	"TRIM27"	"55195"	"C14orf105"
"5987"	"TRIM27"	"55231"	"CCDC87"
"5987"	"TRIM27"	"55285"	"RBM41"
"5987"	"TRIM27"	"55324"	"ABCF3"
"5987"	"TRIM27"	"55633"	"TBC1D22B"
"5987"	"TRIM27"	"55663"	"ZNF446"
"5987"	"TRIM27"	"55702"	"CCDC94"
"5987"	"TRIM27"	"55758"	"RCOR3"
"5987"	"TRIM27"	"55850"	"USE1"
"5987"	"TRIM27"	"56204"	"FAM214A"
"5987"	"TRIM27"	"56891"	"LGALS14"
"5987"	"TRIM27"	"57325"	"CSRP2BP"
"5987"	"TRIM27"	"57459"	"GATAD2B"
"5987"	"TRIM27"	"57559"	"STAMBPL1"
"5987"	"TRIM27"	"57616"	"TSHZ3"
"5987"	"TRIM27"	"57674"	"RNF213"
"5987"	"TRIM27"	"57697"	"FANCM"
"5987"	"TRIM27"	"58500"	"ZNF250"
"5987"	"TRIM27"	"58524"	"DMRT3"
"5987"	"TRIM27"	"63898"	"SH2D4A"
"5987"	"TRIM27"	"64147"	"KIF9"
"5987"	"TRIM27"	"64782"	"AEN"
"5987"	"TRIM27"	"64976"	"MRPL40"
"5987"	"TRIM27"	"79005"	"SCNM1"
"5987"	"TRIM27"	"79025"	"C20orf195"
"5987"	"TRIM27"	"79038"	"ZFYVE21"
"5987"	"TRIM27"	"79165"	"LENG1"
"5987"	"TRIM27"	"79637"	"ARMC7"
"5987"	"TRIM27"	"79696"	"ZC2HC1C"
"5987"	"TRIM27"	"79839"	"CCDC102B"
"5987"	"TRIM27"	"80212"	"CCDC92"
"5987"	"TRIM27"	"80256"	"FAM214B"
"5987"	"TRIM27"	"80726"	"KIAA1683"
"5987"	"TRIM27"	"81565"	"NDEL1"
"5987"	"TRIM27"	"83448"	"PUS7L"
"5987"	"TRIM27"	"83541"	"FAM110A"
"5987"	"TRIM27"	"83640"	"FAM103A1"
"5987"	"TRIM27"	"84062"	"DTNBP1"
"5987"	"TRIM27"	"84069"	"PLEKHN1"
"5987"	"TRIM27"	"84106"	"PRAM1"
"5987"	"TRIM27"	"84221"	"SPATC1L"
"5987"	"TRIM27"	"84260"	"TCHP"
"5987"	"TRIM27"	"84294"	"UTP23"
"5987"	"TRIM27"	"84313"	"VPS25"
"5987"	"TRIM27"	"84340"	"GFM2"
"5987"	"TRIM27"	"84619"	"ZGPAT"
"5987"	"TRIM27"	"84707"	"BEX2"
"5987"	"TRIM27"	"84894"	"LINGO1"
"5987"	"TRIM27"	"84985"	"FAM83A"
"5987"	"TRIM27"	"85302"	"FBF1"
"5987"	"TRIM27"	"91647"	"ATPAF2"
"5987"	"TRIM27"	"114822"	"RHPN1"
"5987"	"TRIM27"	"114971"	"PTPMT1"
"5987"	"TRIM27"	"115106"	"HAUS1"
"5987"	"TRIM27"	"116225"	"ZMYND19"
"5987"	"TRIM27"	"132158"	"GLYCTK"
"5987"	"TRIM27"	"132789"	"GNPDA2"
"5987"	"TRIM27"	"137209"	"ZNF572"
"5987"	"TRIM27"	"140885"	"SIRPA"
"5987"	"TRIM27"	"143884"	"CWF19L2"
"5987"	"TRIM27"	"147525"	"LINC00526"
"5987"	"TRIM27"	"147687"	"ZNF417"
"5987"	"TRIM27"	"154865"	"IQUB"
"5987"	"TRIM27"	"158787"	"RIBC1"
"5987"	"TRIM27"	"166979"	"CDC20B"
"5987"	"TRIM27"	"170954"	"PPP1R18"
"5987"	"TRIM27"	"196441"	"ZFC3H1"
"5987"	"TRIM27"	"221184"	"CPNE2"
"5987"	"TRIM27"	"252969"	"NEIL2"
"5987"	"TRIM27"	"254173"	"TTLL10"
"5987"	"TRIM27"	"254187"	"TSGA10IP"
"5987"	"TRIM27"	"284058"	"KANSL1"
"5987"	"TRIM27"	"285172"	"FAM126B"
"5987"	"TRIM27"	"287015"	"TRIM42"
"5987"	"TRIM27"	"348110"	"ARPIN"
"5987"	"TRIM27"	"375056"	"MIA3"
"5987"	"TRIM27"	"388677"	"NOTCH2NL"
"5987"	"TRIM27"	"644903"	"FLJ38668"
"5991"	"RFX3"	"7205"	"TRIP6"
"5997"	"RGS2"	"23281"	"MTUS2"
"5998"	"RGS3"	"26003"	"GORASP2"
"6015"	"RING1"	"10138"	"YAF2"
"6015"	"RING1"	"23429"	"RYBP"
"6015"	"RING1"	"57332"	"CBX8"
"6041"	"RNASEL"	"6938"	"TCF12"
"6048"	"RNF5"	"6048"	"RNF5"
"6048"	"RNF5"	"6505"	"SLC1A1"
"6048"	"RNF5"	"7321"	"UBE2D1"
"6048"	"RNF5"	"7323"	"UBE2D3"
"6048"	"RNF5"	"7325"	"UBE2E2"
"6048"	"RNF5"	"7920"	"ABHD16A"
"6048"	"RNF5"	"10477"	"UBE2E3"
"6048"	"RNF5"	"26984"	"SEC22A"
"6048"	"RNF5"	"51141"	"INSIG2"
"6048"	"RNF5"	"51619"	"UBE2D4"
"6048"	"RNF5"	"55238"	"SLC38A7"
"6048"	"RNF5"	"55284"	"UBE2W"
"6048"	"RNF5"	"78992"	"YIPF2"
"6048"	"RNF5"	"91445"	"RNF185"
"6048"	"RNF5"	"220002"	"CYB561A3"
"6048"	"RNF5"	"729515"	"TMEM242"
"6050"	"RNH1"	"6386"	"SDCBP"
"6093"	"ROCK1"	"10623"	"POLR3C"
"6093"	"ROCK1"	"154313"	"C6orf165"
"6093"	"ROCK1"	"220108"	"FAM124A"
"6103"	"RPGR"	"57096"	"RPGRIP1"
"6117"	"RPA1"	"23281"	"MTUS2"
"6120"	"RPE"	"6120"	"RPE"
"6133"	"RPL9"	"7415"	"VCP"
"6133"	"RPL9"	"7541"	"ZBTB14"
"6133"	"RPL9"	"10241"	"CALCOCO2"
"6133"	"RPL9"	"10687"	"PNMA2"
"6133"	"RPL9"	"23281"	"MTUS2"
"6133"	"RPL9"	"51043"	"ZBTB7B"
"6133"	"RPL9"	"57594"	"HOMEZ"
"6133"	"RPL9"	"79036"	"KXD1"
"6133"	"RPL9"	"79618"	"HMBOX1"
"6133"	"RPL9"	"79959"	"CEP76"
"6133"	"RPL9"	"92610"	"TIFA"
"6133"	"RPL9"	"171483"	"FAM9B"
"6133"	"RPL9"	"220082"	"SPERT"
"6133"	"RPL9"	"387856"	"CCDC184"
"6133"	"RPL9"	"653121"	"ZBTB8A"
"6135"	"RPL11"	"125115"	"KRT40"
"6135"	"RPL11"	"386675"	"KRTAP10-7"
"6137"	"RPL13"	"80321"	"CEP70"
"6150"	"MRPL23"	"9240"	"PNMA1"
"6157"	"RPL27A"	"6477"	"SIAH1"
"6158"	"RPL28"	"23582"	"CCNDBP1"
"6166"	"RPL36AL"	"386675"	"KRTAP10-7"
"6175"	"RPLP0"	"23582"	"CCNDBP1"
"6184"	"RPN1"	"6449"	"SGTA"
"6184"	"RPN1"	"29979"	"UBQLN1"
"6201"	"RPS7"	"7541"	"ZBTB14"
"6208"	"RPS14"	"6880"	"TAF9"
"6209"	"RPS15"	"55632"	"G2E3"
"6227"	"RPS21"	"221302"	"ZUFSP"
"6230"	"RPS25"	"55145"	"THAP1"
"6231"	"RPS26"	"90121"	"TSR2"
"6233"	"RPS27A"	"9802"	"DAZAP2"
"6233"	"RPS27A"	"10241"	"CALCOCO2"
"6234"	"RPS28"	"23582"	"CCNDBP1"
"6234"	"RPS28"	"85294"	"KRTAP2-4"
"6234"	"RPS28"	"386675"	"KRTAP10-7"
"6234"	"RPS28"	"386681"	"KRTAP10-8"
"6234"	"RPS28"	"386682"	"KRTAP10-3"
"6234"	"RPS28"	"388677"	"NOTCH2NL"
"6240"	"RRM1"	"6240"	"RRM1"
"6252"	"RTN1"	"6386"	"SDCBP"
"6257"	"RXRB"	"10062"	"NR1H3"
"6258"	"RXRG"	"7376"	"NR1H2"
"6258"	"RXRG"	"10062"	"NR1H3"
"6271"	"S100A1"	"6271"	"S100A1"
"6271"	"S100A1"	"6273"	"S100A2"
"6271"	"S100A1"	"6285"	"S100B"
"6271"	"S100A1"	"79666"	"PLEKHF2"
"6273"	"S100A2"	"6273"	"S100A2"
"6273"	"S100A2"	"6285"	"S100B"
"6275"	"S100A4"	"6285"	"S100B"
"6284"	"S100A13"	"6284"	"S100A13"
"6284"	"S100A13"	"79666"	"PLEKHF2"
"6285"	"S100B"	"6285"	"S100B"
"6285"	"S100B"	"6286"	"S100P"
"6285"	"S100B"	"51324"	"SPG21"
"6286"	"S100P"	"24144"	"TFIP11"
"6293"	"VPS52"	"7004"	"TEAD4"
"6293"	"VPS52"	"7170"	"TPM3"
"6293"	"VPS52"	"7189"	"TRAF6"
"6293"	"VPS52"	"8543"	"LMO4"
"6293"	"VPS52"	"8676"	"STX11"
"6293"	"VPS52"	"9099"	"USP2"
"6293"	"VPS52"	"9589"	"WTAP"
"6293"	"VPS52"	"9852"	"EPM2AIP1"
"6293"	"VPS52"	"10193"	"RNF41"
"6293"	"VPS52"	"25828"	"TXN2"
"6293"	"VPS52"	"25959"	"KANK2"
"6293"	"VPS52"	"51160"	"VPS28"
"6293"	"VPS52"	"51382"	"ATP6V1D"
"6293"	"VPS52"	"51603"	"METTL13"
"6293"	"VPS52"	"54955"	"C1orf109"
"6293"	"VPS52"	"55127"	"HEATR1"
"6293"	"VPS52"	"55633"	"TBC1D22B"
"6293"	"VPS52"	"56243"	"KIAA1217"
"6293"	"VPS52"	"57215"	"THAP11"
"6293"	"VPS52"	"57639"	"CCDC146"
"6293"	"VPS52"	"63898"	"SH2D4A"
"6293"	"VPS52"	"65003"	"MRPL11"
"6293"	"VPS52"	"79632"	"FAM184A"
"6293"	"VPS52"	"80125"	"CCDC33"
"6293"	"VPS52"	"81629"	"TSSK3"
"6293"	"VPS52"	"84340"	"GFM2"
"6293"	"VPS52"	"115106"	"HAUS1"
"6293"	"VPS52"	"147700"	"KLC3"
"6293"	"VPS52"	"153527"	"ZMAT2"
"6293"	"VPS52"	"158427"	"TSTD2"
"6293"	"VPS52"	"170082"	"TCEANC"
"6293"	"VPS52"	"170954"	"PPP1R18"
"6293"	"VPS52"	"200081"	"TXLNA"
"6297"	"SALL2"	"79959"	"CEP76"
"6297"	"SALL2"	"83637"	"ZMIZ2"
"6300"	"MAPK12"	"6477"	"SIAH1"
"6303"	"SAT1"	"6303"	"SAT1"
"6303"	"SAT1"	"6591"	"SNAI2"
"6303"	"SAT1"	"8664"	"EIF3D"
"6303"	"SAT1"	"9112"	"MTA1"
"6303"	"SAT1"	"10212"	"DDX39A"
"6303"	"SAT1"	"22980"	"TCF25"
"6303"	"SAT1"	"29057"	"FAM156A"
"6303"	"SAT1"	"54535"	"CCHCR1"
"6303"	"SAT1"	"58524"	"DMRT3"
"6303"	"SAT1"	"84708"	"LNX1"
"6303"	"SAT1"	"84991"	"RBM17"
"6303"	"SAT1"	"130940"	"CCDC148"
"6303"	"SAT1"	"138311"	"FAM69B"
"6303"	"SAT1"	"148223"	"C19orf25"
"6304"	"SATB1"	"391257"	"SUMO1P1"
"6310"	"ATXN1"	"6310"	"ATXN1"
"6310"	"ATXN1"	"6913"	"TBX15"
"6310"	"ATXN1"	"7186"	"TRAF2"
"6310"	"ATXN1"	"11030"	"RBPMS"
"6310"	"ATXN1"	"23543"	"RBFOX2"
"6310"	"ATXN1"	"54845"	"ESRP1"
"6310"	"ATXN1"	"84970"	"C1orf94"
"6310"	"ATXN1"	"122183"	"PRR20A"
"6342"	"SCP2"	"9319"	"TRIP13"
"6351"	"CCL4"	"7780"	"SLC30A2"
"6354"	"CCL7"	"29979"	"UBQLN1"
"6373"	"CXCL11"	"23281"	"MTUS2"
"6374"	"CXCL5"	"388677"	"NOTCH2NL"
"6375"	"XCL1"	"386682"	"KRTAP10-3"
"6385"	"SDC4"	"6449"	"SGTA"
"6386"	"SDCBP"	"6418"	"SET"
"6386"	"SDCBP"	"6432"	"SRSF7"
"6386"	"SDCBP"	"6477"	"SIAH1"
"6386"	"SDCBP"	"6595"	"SMARCA2"
"6386"	"SDCBP"	"6999"	"TDO2"
"6386"	"SDCBP"	"7024"	"TFCP2"
"6386"	"SDCBP"	"7188"	"TRAF5"
"6386"	"SDCBP"	"7319"	"UBE2A"
"6386"	"SDCBP"	"7541"	"ZBTB14"
"6386"	"SDCBP"	"8545"	"CGGBP1"
"6386"	"SDCBP"	"8618"	"CADPS"
"6386"	"SDCBP"	"8636"	"SSNA1"
"6386"	"SDCBP"	"8976"	"WASL"
"6386"	"SDCBP"	"9051"	"PSTPIP1"
"6386"	"SDCBP"	"9240"	"PNMA1"
"6386"	"SDCBP"	"9295"	"SRSF11"
"6386"	"SDCBP"	"9584"	"RBM39"
"6386"	"SDCBP"	"9659"	"PDE4DIP"
"6386"	"SDCBP"	"10152"	"ABI2"
"6386"	"SDCBP"	"10241"	"CALCOCO2"
"6386"	"SDCBP"	"10320"	"IKZF1"
"6386"	"SDCBP"	"10423"	"CDIPT"
"6386"	"SDCBP"	"10475"	"TRIM38"
"6386"	"SDCBP"	"10541"	"ANP32B"
"6386"	"SDCBP"	"10687"	"PNMA2"
"6386"	"SDCBP"	"10807"	"SDCCAG3"
"6386"	"SDCBP"	"10900"	"RUNDC3A"
"6386"	"SDCBP"	"11043"	"MID2"
"6386"	"SDCBP"	"11144"	"DMC1"
"6386"	"SDCBP"	"11157"	"LSM6"
"6386"	"SDCBP"	"11275"	"KLHL2"
"6386"	"SDCBP"	"22827"	"PUF60"
"6386"	"SDCBP"	"22924"	"MAPRE3"
"6386"	"SDCBP"	"22954"	"TRIM32"
"6386"	"SDCBP"	"22978"	"NT5C2"
"6386"	"SDCBP"	"23281"	"MTUS2"
"6386"	"SDCBP"	"23641"	"LDOC1"
"6386"	"SDCBP"	"25816"	"TNFAIP8"
"6386"	"SDCBP"	"26007"	"DAK"
"6386"	"SDCBP"	"26578"	"OSTF1"
"6386"	"SDCBP"	"27232"	"GNMT"
"6386"	"SDCBP"	"27284"	"SULT1B1"
"6386"	"SDCBP"	"29079"	"MED4"
"6386"	"SDCBP"	"51019"	"CCDC53"
"6386"	"SDCBP"	"51074"	"APIP"
"6386"	"SDCBP"	"51076"	"CUTC"
"6386"	"SDCBP"	"51538"	"ZCCHC17"
"6386"	"SDCBP"	"53615"	"MBD3"
"6386"	"SDCBP"	"54458"	"PRR13"
"6386"	"SDCBP"	"54550"	"NECAB2"
"6386"	"SDCBP"	"54585"	"LZTFL1"
"6386"	"SDCBP"	"54763"	"ROPN1"
"6386"	"SDCBP"	"54793"	"KCTD9"
"6386"	"SDCBP"	"54819"	"ZCCHC10"
"6386"	"SDCBP"	"54955"	"C1orf109"
"6386"	"SDCBP"	"54974"	"THG1L"
"6386"	"SDCBP"	"55007"	"FAM118A"
"6386"	"SDCBP"	"55068"	"ENOX1"
"6386"	"SDCBP"	"55165"	"CEP55"
"6386"	"SDCBP"	"55216"	"C11orf57"
"6386"	"SDCBP"	"55577"	"NAGK"
"6386"	"SDCBP"	"55660"	"PRPF40A"
"6386"	"SDCBP"	"55964"	"SEPT3"
"6386"	"SDCBP"	"56648"	"EIF5A2"
"6386"	"SDCBP"	"57159"	"TRIM54"
"6386"	"SDCBP"	"57594"	"HOMEZ"
"6386"	"SDCBP"	"59349"	"KLHL12"
"6386"	"SDCBP"	"60626"	"RIC8A"
"6386"	"SDCBP"	"64866"	"CDCP1"
"6386"	"SDCBP"	"65220"	"NADK"
"6386"	"SDCBP"	"65263"	"PYCRL"
"6386"	"SDCBP"	"79077"	"DCTPP1"
"6386"	"SDCBP"	"79607"	"FAM118B"
"6386"	"SDCBP"	"79839"	"CCDC102B"
"6386"	"SDCBP"	"80308"	"FLAD1"
"6386"	"SDCBP"	"83638"	"C11orf68"
"6386"	"SDCBP"	"83659"	"TEKT1"
"6386"	"SDCBP"	"84062"	"DTNBP1"
"6386"	"SDCBP"	"84285"	"EIF1AD"
"6386"	"SDCBP"	"84950"	"PRPF38A"
"6386"	"SDCBP"	"85403"	"EAF1"
"6386"	"SDCBP"	"91369"	"ANKRD40"
"6386"	"SDCBP"	"92610"	"TIFA"
"6386"	"SDCBP"	"92840"	"REEP6"
"6386"	"SDCBP"	"93986"	"FOXP2"
"6386"	"SDCBP"	"114932"	"MRFAP1L1"
"6386"	"SDCBP"	"116173"	"CMTM5"
"6386"	"SDCBP"	"128178"	"EDARADD"
"6386"	"SDCBP"	"171483"	"FAM9B"
"6386"	"SDCBP"	"200845"	"KCTD6"
"6386"	"SDCBP"	"202559"	"KHDRBS2"
"6386"	"SDCBP"	"253635"	"GPATCH11"
"6386"	"SDCBP"	"283899"	"INO80E"
"6386"	"SDCBP"	"284252"	"KCTD1"
"6386"	"SDCBP"	"285141"	"ERICH2"
"6386"	"SDCBP"	"285672"	"SREK1IP1"
"6386"	"SDCBP"	"339834"	"CCDC36"
"6386"	"SDCBP"	"386675"	"KRTAP10-7"
"6386"	"SDCBP"	"386682"	"KRTAP10-3"
"6386"	"SDCBP"	"388677"	"NOTCH2NL"
"6386"	"SDCBP"	"440603"	"BCL2L15"
"6386"	"SDCBP"	"441212"	"RP9P"
"6386"	"SDCBP"	"441519"	"CT45A3"
"6386"	"SDCBP"	"441521"	"CT45A5"
"6386"	"SDCBP"	"653121"	"ZBTB8A"
"6386"	"SDCBP"	"100288797"	"TMEM239"
"6396"	"SEC13"	"7188"	"TRAF5"
"6396"	"SEC13"	"89866"	"SEC16B"
"6418"	"SET"	"80764"	"THAP7"
"6418"	"SET"	"374393"	"FAM111B"
"6427"	"SRSF2"	"6925"	"TCF4"
"6427"	"SRSF2"	"55722"	"CEP72"
"6427"	"SRSF2"	"84445"	"LZTS2"
"6427"	"SRSF2"	"125115"	"KRT40"
"6431"	"SRSF6"	"51631"	"LUC7L2"
"6432"	"SRSF7"	"51631"	"LUC7L2"
"6440"	"SFTPC"	"6440"	"SFTPC"
"6440"	"SFTPC"	"23480"	"SEC61G"
"6440"	"SFTPC"	"26984"	"SEC22A"
"6440"	"SFTPC"	"84283"	"TMEM79"
"6440"	"SFTPC"	"163183"	"SYNE4"
"6442"	"SGCA"	"6449"	"SGTA"
"6447"	"SCG5"	"29979"	"UBQLN1"
"6449"	"SGTA"	"6590"	"SLPI"
"6449"	"SGTA"	"6649"	"SOD3"
"6449"	"SGTA"	"6696"	"SPP1"
"6449"	"SGTA"	"6782"	"HSPA13"
"6449"	"SGTA"	"6860"	"SYT4"
"6449"	"SGTA"	"7033"	"TFF3"
"6449"	"SGTA"	"7037"	"TFRC"
"6449"	"SGTA"	"7039"	"TGFA"
"6449"	"SGTA"	"7380"	"UPK3A"
"6449"	"SGTA"	"7432"	"VIP"
"6449"	"SGTA"	"7917"	"BAG6"
"6449"	"SGTA"	"9370"	"ADIPOQ"
"6449"	"SGTA"	"23208"	"SYT11"
"6449"	"SGTA"	"23495"	"TNFRSF13B"
"6449"	"SGTA"	"27040"	"LAT"
"6449"	"SGTA"	"30008"	"EFEMP2"
"6449"	"SGTA"	"50848"	"F11R"
"6449"	"SGTA"	"51060"	"TXNDC12"
"6449"	"SGTA"	"51083"	"GAL"
"6449"	"SGTA"	"51661"	"FKBP7"
"6449"	"SGTA"	"53822"	"FXYD7"
"6449"	"SGTA"	"54838"	"WBP1L"
"6449"	"SGTA"	"55194"	"EVA1B"
"6449"	"SGTA"	"55739"	"CARKD"
"6449"	"SGTA"	"56005"	"C19orf10"
"6449"	"SGTA"	"56144"	"PCDHA4"
"6449"	"SGTA"	"57045"	"TWSG1"
"6449"	"SGTA"	"57228"	"SMAGP"
"6449"	"SGTA"	"57326"	"PBXIP1"
"6449"	"SGTA"	"79089"	"TMUB2"
"6449"	"SGTA"	"79669"	"C3orf52"
"6449"	"SGTA"	"81608"	"FIP1L1"
"6449"	"SGTA"	"84888"	"SPPL2A"
"6449"	"SGTA"	"114897"	"C1QTNF1"
"6449"	"SGTA"	"114904"	"C1QTNF6"
"6449"	"SGTA"	"118471"	"PRAP1"
"6449"	"SGTA"	"121506"	"ERP27"
"6449"	"SGTA"	"124220"	"ZG16B"
"6449"	"SGTA"	"134288"	"TMEM174"
"6449"	"SGTA"	"147872"	"CCDC155"
"6449"	"SGTA"	"150771"	"ITPRIPL1"
"6449"	"SGTA"	"155465"	"AGR3"
"6449"	"SGTA"	"203562"	"TMEM31"
"6449"	"SGTA"	"222894"	"FERD3L"
"6449"	"SGTA"	"653808"	"ZG16"
"6455"	"SH3GL1"	"6455"	"SH3GL1"
"6455"	"SH3GL1"	"6456"	"SH3GL2"
"6455"	"SH3GL1"	"9112"	"MTA1"
"6455"	"SH3GL1"	"27238"	"GPKOW"
